item_id,artist_name,track_name,genre,rating
0,Death Cab For Cutie,Someday You Will Be Loved,indie|alternative|rock,2.9615384615384617
1,Death Cab For Cutie,Crooked Teeth,indie|alternative,2.9814814814814814
2,Death Cab For Cutie,Stable Song,indie|alternative,2.8529411764705883
3,Death Cab For Cutie,The New Year,indie|alternative|rock,2.675
4,Death Cab For Cutie,Brothers On A Hotel Bed,indie|alternative|rock|emo,2.6904761904761907
5,Death Cab For Cutie,I Was A Kaleidoscope,indie|alternative|rock,2.8181818181818183
6,Death Cab For Cutie,Soul Meets Body,indie|alternative,2.9508196721311477
7,Death Cab For Cutie,Your Heart Is An Empty Room,indie rock|alternative rock,2.82
8,Death Cab For Cutie,Lightness,indie|alternative,2.857142857142857
9,Death Cab For Cutie,Title And Registration,indie rock|alternative rock,2.7708333333333335
10,Death Cab For Cutie,Passenger Seat,indie|alternative|rock|pop,2.5757575757575757
11,Death Cab For Cutie,We Looked Like Giants,indie|alternative|rock,2.9444444444444446
12,Death Cab For Cutie,Transatlanticism,indie rock|alternative rock|indie pop,2.6052631578947367
13,Death Cab For Cutie,Summer Skin,indie|alternative|rock,2.9545454545454546
14,Death Cab For Cutie,I Will Follow You Into The Dark,indie|acoustic|folk,3.1846153846153844
15,Death Cab For Cutie,Tiny Vessels,indie|alternative rock,2.71875
16,Death Cab For Cutie,A Lack Of Color,indie|alternative,2.764705882352941
17,Death Cab For Cutie,Photobooth,indie|alternative|rock,2.6956521739130435
18,Death Cab For Cutie,Different Names For The Same Thing,indie|alternative|rock,2.8222222222222224
19,Death Cab For Cutie,Marching Bands Of Manhattan,indie|alternative|rock,3.0930232558139537
20,Death Cab For Cutie,What Sarah Said,indie rock|indie pop,2.8292682926829267
21,Morrissey,Everyday Is Like Sunday,alternative|indie|post-punk,2.8
22,Morrissey,Alsatian Cousin,alternative|indie|rock,2.6470588235294117
23,Morrissey,Suedehead,alternative|indie|rock,2.8125
24,Morrissey,"Angel, Angel, Down We Go Together",alternative|indie|post-punk,2.588235294117647
25,Morrissey,"Late Night, Maudlin Street",alternative|indie rock,2.3333333333333335
26,Morrissey,Bengali In Platforms,alternative|indie|post-punk,2.642857142857143
27,Morrissey,Hairdresser On Fire,alternative|indie rock,2.588235294117647
28,Cartel,Matter Of Time,alternative|pop|rock,3.111111111111111
29,Cartel,Luckie St.,pop|alternative rock,3.1666666666666665
30,Cartel,Honestly,pop|rock,3.3333333333333335
31,Sufjan Stevens,The Dress Looks Nice On You,indie|folk|acoustic,2.739130434782609
32,Queen,Fat Bottomed Girls,rock|hard rock|classic rock,2.735294117647059
33,Queen,Somebody To Love,rock|pop,2.588235294117647
34,Queen,We Are The Champions,rock|arena rock,2.4523809523809526
