user_id,activity,diversity,conformity
0,2,3,2
1,1,1,3
2,1,2,1
3,1,1,2
4,1,2,1
5,3,3,2
6,1,2,1
7,3,3,1
8,2,3,2
9,1,2,2
10,2,3,2
11,2,2,2
12,3,3,1
13,2,3,2
14,1,1,3
15,1,2,1
16,1,2,2
17,2,2,2
18,2,3,1
19,1,1,1
20,1,2,2
21,1,1,1
22,1,2,2
23,2,2,2
24,2,3,1
25,1,1,2
26,2,3,1
27,1,2,2
28,1,1,3
29,1,2,1
30,1,2,2
31,1,1,3
32,2,2,1
33,2,2,2
34,2,3,2
35,1,3,1
36,2,3,2
37,1,2,2
38,1,2,1
39,1,1,3
40,1,1,2
41,2,3,1
42,2,2,2
43,1,2,2
44,2,3,2
45,1,2,1
46,1,1,2
47,2,3,2
48,1,2,2
49,1,1,3
50,2,3,2
51,1,1,2
52,3,3,3
53,2,2,2
54,1,1,2
55,1,2,2
56,1,1,3
57,2,3,2
58,2,3,1
59,1,2,2
60,1,1,2
61,1,2,2
62,1,1,3
63,3,3,2
64,1,1,2
65,2,3,1
66,1,2,1
67,2,3,2
68,1,3,1
69,2,3,1
70,1,1,2
71,1,2,2
72,1,1,3
73,1,1,2
74,1,2,2
75,1,1,3
76,2,2,2
77,3,3,2
78,1,2,2
79,2,3,1
80,1,1,2
81,2,3,2
82,1,2,2
83,1,2,1
84,3,3,1
85,1,2,2
86,1,1,3
87,1,1,1
88,2,3,2
89,2,2,2
90,1,2,1
91,1,1,2
92,2,3,2
93,1,1,2
94,1,1,2
95,1,1,1
96,3,3,2
97,1,3,2
98,2,3,2
99,2,3,2
100,1,1,2
101,1,1,3
102,1,1,1
103,1,1,3
104,1,1,2
105,1,2,1
106,3,3,2
107,1,1,3
108,2,2,1
109,1,2,1
110,2,2,2
111,1,1,3
112,3,3,2
113,3,3,2
114,3,3,3
115,1,1,2
116,1,1,3
117,1,2,3
118,1,2,3
119,2,3,1
120,1,1,2
121,2,2,2
122,3,3,3
123,1,2,2
124,1,1,3
125,1,1,3
126,1,1,3
127,1,1,1
128,1,2,2
129,2,3,2
130,1,2,2
131,2,3,2
132,1,1,3
133,2,3,1
134,1,2,1
135,3,3,2
136,2,2,1
137,2,3,2
138,1,1,3
139,1,1,3
140,1,1,2
141,1,1,2
142,1,1,3
143,3,3,2
144,1,1,3
145,1,2,3
146,1,1,3
147,2,3,2
148,2,3,2
149,1,1,2
150,1,3,1
151,2,2,2
152,2,3,3
153,1,1,1
154,1,1,3
155,1,2,1
156,2,2,2
157,1,1,3
158,2,3,2
159,1,2,2
160,1,2,2
161,3,2,2
162,1,1,1
163,1,1,2
164,1,1,2
165,2,2,2
166,1,2,3
167,1,1,1
168,3,3,2
169,1,2,2
170,2,3,2
171,1,3,1
172,3,3,2
173,1,1,3
174,1,1,1
175,1,2,2
176,1,1,3
177,1,1,3
178,3,3,2
179,2,3,2
180,2,2,2
181,1,2,2
182,1,2,2
183,1,3,1
184,2,3,2
185,2,2,2
186,1,1,3
187,1,1,2
188,1,2,2
189,1,3,2
190,2,2,1
191,1,2,1
192,2,2,2
193,1,1,3
194,3,3,1
195,2,3,2
196,2,3,1
197,2,3,2
198,1,2,2
199,2,3,2
200,2,3,2
201,1,2,2
202,1,2,2
203,2,3,1
204,1,1,3
205,1,3,1
206,1,1,1
207,1,1,2
208,1,1,2
209,1,1,3
210,2,3,2
211,1,2,2
212,1,2,2
213,1,2,3
214,3,3,2
215,1,1,2
216,1,2,2
217,1,1,3
218,2,3,1
219,3,3,2
220,1,2,3
221,2,2,2
222,1,1,3
223,2,3,2
224,1,2,2
225,1,1,3
226,1,2,2
227,3,3,2
228,1,2,2
229,1,2,2
230,1,1,1
231,1,1,2
232,2,3,1
233,1,2,1
234,1,1,3
235,2,3,1
236,2,3,2
237,1,2,1
238,1,2,1
239,1,3,1
240,1,2,3
241,1,1,3
242,2,3,2
243,1,2,1
244,1,1,2
245,1,1,3
246,2,3,1
247,2,3,2
248,1,1,1
249,1,2,1
250,3,3,2
251,2,3,2
252,3,3,2
253,2,3,2
254,2,2,2
255,2,3,1
256,2,2,1
257,1,1,2
258,2,2,2
259,3,3,2
260,2,3,2
261,1,1,3
262,3,3,2
263,1,1,3
