user_id,item_id,rating
1,71,5
1,276,5
1,329,5
1,419,5
1,420,5
1,421,5
1,422,5
1,423,5
1,627,4
1,664,5
1,665,4
1,838,5
1,842,5
1,866,4
2,206,5
2,252,5
2,314,3
2,347,4
2,398,5
2,411,2
2,479,5
2,502,5
2,587,5
2,746,5
2,811,5
2,813,4
2,827,5
2,833,5
2,1011,5
3,49,5
3,115,5
3,207,4
3,215,4
3,216,4
3,281,5
3,324,5
3,590,5
3,740,5
4,479,5
4,550,5
5,10,5
5,30,4
5,52,5
5,61,4
5,94,4
5,95,5
5,104,4
5,118,4
5,176,4
5,245,2
5,248,3
5,256,5
5,276,4
5,280,5
5,302,4
5,326,5
5,418,4
5,421,5
5,423,5
5,425,5
5,453,4
5,482,4
5,487,3
5,515,5
5,518,5
5,519,5
5,549,5
5,614,5
5,782,4
5,941,4
5,950,4
5,954,4
5,988,4
6,25,5
6,30,4
6,59,4
6,61,4
6,62,4
6,71,5
6,85,4
6,88,3
6,89,3
6,103,4
6,104,4
6,148,4
6,199,4
6,204,4
6,273,3
6,280,5
6,285,4
6,321,4
6,323,3
6,416,4
6,459,4
6,562,5
6,576,5
6,653,4
6,661,4
6,753,4
6,790,3
6,843,4
6,949,4
6,984,4
6,996,3
6,1025,4
6,1026,4
6,1046,5
7,69,5
7,116,4
7,126,3
7,232,2
7,495,4
7,545,5
7,547,5
7,561,5
7,562,4
7,572,5
7,578,5
7,582,4
7,590,4
7,830,4
7,837,4
7,879,4
7,886,5
7,974,1
7,1038,4
8,5,4
8,25,4
8,48,3
8,60,4
8,65,4
8,81,4
8,83,3
8,92,5
8,97,4
8,101,4
8,104,4
8,115,4
8,137,4
8,149,4
8,156,5
8,159,4
8,163,5
8,174,4
8,204,3
8,246,4
8,251,4
8,260,4
8,272,5
8,274,4
8,284,4
8,292,4
8,301,4
8,325,4
8,330,4
8,376,4
8,382,4
8,403,4
8,479,5
8,488,4
8,493,5
8,497,5
8,502,4
8,507,4
8,514,4
8,516,5
8,525,5
8,532,4
8,539,4
8,593,4
8,604,4
8,605,4
8,619,4
8,639,4
8,643,4
8,665,4
8,676,4
8,739,4
8,767,3
8,770,4
8,782,4
8,810,5
8,838,5
8,841,4
8,849,4
8,851,4
8,896,4
8,909,4
8,930,5
8,958,4
8,965,5
8,991,4
8,1000,5
8,1002,4
8,1037,5
8,1038,4
8,1039,4
8,1044,4
9,71,5
9,80,4
9,151,4
9,733,5
9,794,4
9,803,4
9,838,4
9,842,4
9,946,4
9,1045,5
10,262,4
10,263,5
10,376,5
10,676,4
11,137,5
11,437,5
11,515,5
11,745,4
11,1037,4
12,43,4
12,86,3
12,463,3
12,465,4
12,1023,1
13,2,5
13,12,5
13,48,5
13,80,5
13,115,4
13,254,4
13,317,4
13,346,5
13,779,4
13,866,5
13,867,4
13,947,4
13,1017,5
13,1043,5
14,20,5
14,93,5
14,94,4
14,158,4
14,159,4
14,269,5
14,270,5
14,355,4
14,378,4
14,436,4
14,453,4
14,479,4
14,598,4
14,635,4
14,895,4
14,904,4
14,919,5
14,936,4
15,17,5
15,47,4
15,59,4
15,75,5
15,83,4
15,106,4
15,119,5
15,122,4
15,123,4
15,124,3
15,275,5
15,311,4
15,312,5
15,313,5
15,315,3
15,331,3
15,423,5
15,590,5
15,927,4
15,936,4
15,962,4
15,999,4
15,1001,4
16,4,4
16,5,4
16,66,5
16,68,5
