user_id,item_id,rating
0,16302,5
0,18381,5
0,7051,5
0,14901,5
0,9184,5
0,6644,5
0,16529,5
0,4124,5
0,5822,5
0,612,5
0,18194,5
0,7656,5
0,18411,5
0,15417,5
0,11606,5
0,7585,5
0,4102,5
0,5306,5
0,4108,5
0,4198,5
0,17492,5
0,17501,5
0,18141,5
0,12305,5
0,13123,5
0,5917,5
0,3606,5
0,14967,5
0,14485,5
0,6764,5
0,17438,5
0,17087,5
0,17196,5
0,2279,5
0,5307,5
0,1833,5
0,8846,4
0,2466,4
0,1038,5
0,18006,5
0,18078,5
0,11605,5
0,14623,5
0,283,5
0,14968,5
0,14624,5
0,18095,5
0,17127,5
0,17541,5
0,18715,5
0,2515,5
0,234,5
0,6535,5
0,8068,5
0,2276,5
0,3593,5
0,2277,5
0,15324,5
0,8037,5
0,1074,5
0,10318,5
0,10111,5
0,6032,5
1,17782,5
1,8485,4
1,8517,5
1,17781,4
1,22059,4
1,8153,4
1,8142,4
1,11490,4
1,8135,4
1,13961,5
1,8484,4
1,13508,5
1,8136,4
1,1083,5
1,11489,4
1,9498,4
1,8095,3
1,8804,5
1,11520,5
1,11524,5
1,22310,5
1,3984,2
1,11521,4
1,6623,5
1,11168,5
1,11516,5
1,13962,5
1,3357,5
1,8491,4
1,21494,4
1,9573,5
1,8139,4
1,2767,5
1,21367,5
1,2142,4
1,8472,5
1,8790,5
1,7913,3
1,2220,5
1,10979,5
1,13496,5
1,10114,2
1,6991,5
1,15948,5
1,430,1
1,16132,5
1,6580,5
1,18336,5
1,6585,5
1,15077,1
1,12752,5
1,2351,4
1,20762,5
1,8120,5
1,4205,5
1,18977,5
1,14103,5
1,7248,5
1,17571,5
1,14102,5
1,20038,5
1,11011,5
1,4049,5
1,5425,5
1,10561,5
1,13498,5
2,6876,4
2,4614,4
2,19492,4
2,8716,5
2,11659,4
2,15335,5
2,7895,3
2,6719,5
2,4029,3
2,469,5
2,11689,5
2,9422,5
2,2813,5
2,18217,5
2,86,5
2,6839,5
2,15771,1
2,3036,5
2,5163,5
2,15894,5
2,1228,5
2,15679,5
2,16865,5
2,18364,5
2,1789,5
2,10365,5
2,3670,3
2,10875,5
2,1716,4
2,1710,5
2,16306,5
2,8670,5
3,20603,5
3,21120,5
3,21298,5
3,20971,3
3,21599,5
3,21181,5
3,21040,2
3,20523,5
3,20822,5
3,20933,3
3,20337,3
3,21016,5
3,20902,4
3,21063,4
3,19592,5
3,19360,3
3,21052,5
3,20101,5
3,19831,5
3,21174,5
3,20516,5
3,21126,4
3,20395,3
3,19590,5
3,21561,4
3,21488,5
3,20102,3
3,22002,1
3,19741,5
