user_id,item_id_list,rating_list,name,gender,age
1,"[33643, 35829, 36668, 37494, 39476, 40272, 15295, 32707, 17182, 19975, 14295, 36400, 8653, 8825, 8794, 12536, 1279, 39814, 28718, 16623, 1278, 40329, 33877, 31998, 25363, 31981, 16440, 2011, 26237, 8740, 11427, 34699, 8974, 8753, 39098, 8973, 41623, 39764, 38286, 40328, 38321, 38333, 38296, 36082, 39703, 26947, 28786, 12730, 7693, 32832, 28751, 31747, 14614, 2499, 38222, 8967, 20914, 37552, 37784, 20668, 28130, 17384, 17405, 29313, 2351, 2355, 4918, 25704, 11429, 2161, 37913, 3612, 3956, 19223, 5320, 32833, 2148, 36084, 8248, 39381, 39543, 25362, 32064, 634, 32831, 32835, 32836, 11426, 32066, 39586, 33878, 37625, 38426, 41106, 5420, 5422, 505, 14057, 17523, 4915, 7673, 4916, 33639, 31440, 1909, 17455, 2249, 39434, 42373, 22602, 17246, 38833, 22093, 41861, 20280, 22096, 204, 2956, 11259, 12951]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",Emily Johnson,Female,24
2,"[38938, 31639, 18437, 48403, 20819, 18504, 20825, 38937, 48554, 25130, 23263, 17705, 17681, 25127, 17672, 30603, 18436, 29586, 20822, 38936, 20823, 17673, 23216, 24751, 2265, 18422, 23115, 25126, 41885, 13677, 20927, 20623, 17577, 38939, 19147, 25188, 25196, 49145, 8492, 25192, 4759, 14236, 42737, 12942, 25184, 13678, 24437, 25180, 30604, 17687, 18460, 18452, 7173, 20827, 18449, 47299, 17714, 20829, 23323, 17677, 5866, 19117, 41286, 14191, 47016, 35810, 40192, 14208, 4602, 18409, 35493, 4477, 19112, 17163, 4802, 24047, 29560, 22099, 15142, 35073, 930, 14197, 35492, 4991, 14149, 40155, 16484, 14156, 10542, 33092, 8505, 4970, 27968, 5069, 45798, 17631, 1535, 15517, 30987, 10897, 8996, 43086, 6593, 41740, 39247, 36390, 41405, 30921, 15687, 37718, 10511, 41289, 25874, 38481, 45884, 30918, 44235, 23114, 24107, 15161, 8628, 11719, 1462, 29585, 23219, 29562]","[5, 5, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 5, 5, 4, 4, 4, 4, 4, 5, 5, 4, 4, 5, 4, 3, 4, 3, 4, 5, 5, 5, 5, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 3, 4, 4, 5, 5, 4, 4, 5, 5, 5, 5, 5, 4, 4, 5, 4, 5, 5, 5, 5, 3, 5, 5, 5, 2, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 1, 1, 4, 5, 4, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",Sarah Johnson,Female,46
3,"[20157, 32765, 14870, 14690, 9890, 42988, 16110, 18954, 25466, 33664, 17115, 14565, 14504, 35304, 16154, 8429, 8583, 1017, 22921, 25543, 5981, 20473, 5974, 39870, 18783, 185, 14792, 34696, 8873, 6454, 32764, 23543, 11107, 8172, 34958, 2594, 173, 34497, 37107, 29246, 40235, 91, 37451, 3881, 22728, 7829, 23830, 33552, 7773, 37051, 26574, 6287, 3716, 3709, 81, 35837, 39726, 3487, 34959, 11706, 18845]","[4, 5, 4, 4, 4, 4, 5, 5, 4, 5, 3, 5, 5, 4, 3, 4, 3, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 1, 5, 5, 5, 5, 5, 2, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 4, 4, 5, 2, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5]",David Miller,Male,29
4,"[45465, 46926, 46518, 44984, 44228, 47777, 45946, 46858, 46403, 46229, 46624, 23101, 47537, 46638, 46371, 45286, 45920, 44230, 46149, 43796, 44892, 46329, 46095, 46407, 43220, 43340, 42693, 44375, 44434, 48803, 46390, 44373, 43793, 46157, 46550, 45917, 46616, 45268, 46533, 46564, 45007, 45239, 46475, 42789, 17199, 43218, 43074, 32935, 47459, 49068, 43647, 48251, 47432, 47287, 48597, 44374, 48419, 43574, 45587, 32936, 42886, 45556, 43183, 47139, 43795, 47298, 47903, 44817, 47671, 46810, 43291, 46908, 47121, 45057, 46104, 43792, 45670, 42690, 46308, 46520, 45346, 47888, 43797, 47205, 46284, 47891, 47889, 47651, 45604, 45684, 44529, 44340, 45230, 43490, 42638, 43555, 43210, 45079, 45401, 43489, 43488, 45547, 44528, 43940, 44822, 45527, 44598, 45151, 42652, 45154, 45525, 45490, 45115, 46193, 45734, 43806, 44409, 45342, 43543]","[5, 5, 5, 5, 5, 5, 2, 5, 5, 3, 1, 2, 5, 5, 2, 5, 5, 5, 3, 5, 3, 5, 4, 4, 5, 5, 3, 5, 4, 4, 5, 5, 5, 1, 4, 5, 5, 5, 4, 5, 3, 3, 3, 4, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 3, 3, 1, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 3, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 3, 5, 5, 5, 4, 5, 5, 4, 3, 5, 5, 5, 5, 5, 4, 3, 3, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5]",Sarah Garcia,Female,33
5,"[31551, 37460, 40280, 23792, 14590, 20831, 21958, 5203, 1125, 14211, 40163, 37571, 10672, 11659, 33180, 21355, 2533, 41209, 35325, 10882, 23647, 28040, 46883, 23922, 31065, 32040, 12015, 3509, 29268, 10289, 9042, 42613, 19227, 33115, 19208, 34047, 13781, 23920, 33269, 35624, 33366, 8670, 14452, 33359, 21840, 34080, 3614, 14066, 1947, 27142, 2442, 12013, 40042, 8446, 20933, 33234, 21424, 24938, 22043, 27801, 21964, 44815, 12014, 22935, 30087, 43152, 37455, 37453, 28073, 15564, 34241, 1155, 21963, 887, 563, 21356, 10290, 10291, 42697, 11255, 28090, 46047, 20860, 12762, 45669, 39887, 22674, 2438, 4395, 47728, 42082, 11121, 39823, 21382, 28402, 4674, 11941, 20867]","[4, 5, 3, 4, 4, 5, 5, 4, 4, 2, 3, 4, 5, 3, 5, 4, 5, 4, 4, 4, 3, 5, 5, 3, 4, 3, 4, 4, 5, 4, 4, 4, 4, 3, 4, 5, 4, 4, 3, 4, 4, 3, 4, 5, 5, 4, 5, 4, 5, 4, 5, 4, 3, 4, 3, 4, 5, 5, 5, 3, 4, 5, 4, 5, 5, 4, 4, 4, 5, 5, 5, 2, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 4, 5, 4, 5, 4, 4, 5, 5, 4, 5, 5]", John Smith,Male,32
6,"[15328, 25400, 15404, 15329, 15362, 38348, 38334, 25373, 15398, 38648, 15403, 15418, 38337, 38321, 15900, 15415, 25385, 38686, 27488, 35582, 15388, 15439, 15385, 15364, 31594, 15381, 38346, 38332, 38328, 15354, 38271, 15131, 38270, 29021, 41425, 41426, 4917, 40934, 16915, 36067, 36074, 34072, 1002, 13504, 27750, 16880, 38118, 41257, 15395, 33634, 20339, 12681, 411, 17518, 25361, 26232, 38631, 38430, 38304, 38257, 37649, 25325, 37944]","[5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5]",Emily Miller,Female,34
7,"[29188, 14206, 1343, 26073, 38995, 25913, 1655, 14030, 4180, 12093, 7575, 18015, 36674, 3235, 16350, 20798, 32691, 28106, 19876, 19937, 7854, 952, 4297, 45116, 28107, 7837, 23949, 19914, 3934, 36125, 10770, 29020, 23913, 7912, 31161, 23360, 34337, 8729, 33669, 18092, 39050, 33939, 35102, 12171, 17878, 17816, 12878, 4051, 3083, 16113, 39331, 6432, 24075, 4302, 22775, 25569, 27400, 13064, 12161, 20042, 29532, 29540, 14166, 32639, 4901, 12849, 7898, 19257, 36916, 34758, 12815, 34680, 4957, 8123, 7950, 5332, 4161, 25467, 5410, 40676, 43177, 12798, 5328, 25525, 17812, 6264, 5341, 5299, 20469, 5271, 19740, 39821, 8511, 7945, 25848, 10190, 4078, 6222, 6273, 7853, 14169, 10937, 8533, 25576, 5444, 35411, 3973, 6847, 39275, 4108, 3642, 4065, 817, 25539, 33224, 5090, 7841, 22622, 6866, 9585, 4146, 4110, 4820, 14028, 20650, 19317, 25574, 35842, 5371, 7134, 25449, 35844, 25609, 1868, 43420, 19883, 39397, 34341, 25916, 1829, 39069, 25058, 11899, 20445, 45704, 5749, 13060, 10141, 5086, 38020, 34832, 33671, 29283, 31844, 41482, 37892, 21303, 6476, 41865, 47138, 19290, 32163, 18399, 3947, 38171, 5695, 5857, 36258, 25253, 15656, 25558, 23373, 19330, 37560, 11847, 25039, 30929, 15671, 34179, 29473, 3152, 35798, 46411, 8679, 10808, 8720, 37028, 37331, 42858, 12369, 27079, 12869, 37290, 13105, 19296, 25922, 12366, 2073, 31687, 25048]","[5, 4, 5, 4, 5, 3, 5, 3, 5, 5, 3, 5, 4, 4, 3, 5, 3, 5, 4, 5, 3, 4, 4, 5, 4, 5, 4, 3, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 4, 4, 5, 5, 5, 3, 5, 4, 5, 4, 4, 5, 4, 4, 4, 5, 5, 4, 5, 3, 3, 5, 3, 4, 5, 5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 4, 5, 4, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 3, 4, 4, 5, 2, 4, 5, 4, 5, 3, 5, 5, 3, 5, 4, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 4, 4, 5, 5, 5, 5, 5]",Sarah Smith,Female,30
8,"[45961, 44236, 44486, 43907, 44956, 44843, 45025, 27912, 43081, 44378, 36886, 45195, 13268, 6430, 10666, 45563, 36836, 6241, 43328, 9979, 16737, 45861, 27956, 35320, 35318, 43150, 9982, 45008, 43511, 4958, 36134, 44265, 44504, 40713, 45747, 44491, 26535, 43790, 45036, 42870, 43035, 42800, 42799, 42801, 42802, 43036, 43459, 43122, 43460, 48941, 47050, 46964, 43659, 45833, 43458, 5149, 45035, 48934, 43512, 45978, 46439, 43151, 45034, 46007, 19984, 15218, 23260, 38651, 29332, 47167, 42949, 43526, 45039, 45037, 46235, 45038, 47282]","[4, 5, 3, 3, 5, 5, 2, 3, 5, 3, 5, 2, 4, 3, 2, 5, 4, 5, 3, 5, 5, 4, 4, 5, 5, 3, 5, 5, 2, 3, 2, 5, 4, 2, 3, 5, 5, 4, 4, 3, 4, 5, 5, 4, 3, 4, 4, 3, 3, 3, 4, 3, 4, 5, 5, 3, 4, 4, 3, 5, 2, 5, 4, 5, 5, 5, 2, 5, 4, 5, 4, 4, 5, 3, 2, 3, 5]",William Brown,Male,49
9,"[23878, 38065, 37988, 30747, 48950, 23317, 13704, 38060, 30708, 48978, 38066, 16328, 24739, 32018, 24535, 41574, 39513, 24771, 38712, 31866, 11898, 42068, 19564, 13668, 38064, 14897, 36764, 5404, 13974, 35618, 26630, 3300, 20275, 4728, 13607, 20098, 14784, 28048, 34816, 17981, 8818, 16724, 14143, 35885, 45517, 33303, 15945, 39861, 9519, 30722, 2344, 30733, 39107, 30728, 37843, 48728, 31859, 41913, 30748, 26940, 48900, 38377, 15587, 16317, 49151, 41404, 37842, 6468, 20271, 13730, 24811, 26916, 4741, 30750, 24814, 14849, 49066, 30755, 6511, 30759, 28809, 37839, 48992, 41696, 30751, 48489, 13626, 48358, 48549, 48732, 38818, 26939, 13618, 30705, 48911, 13710, 30734, 39130, 41993, 30703, 2212, 31816, 26952, 19333, 11027, 38473]","[5, 3, 5, 3, 5, 4, 5, 2, 5, 5, 5, 5, 4, 5, 5, 2, 1, 5, 4, 3, 4, 5, 5, 5, 5, 5, 4, 1, 5, 5, 5, 2, 5, 5, 5, 5, 3, 5, 5, 3, 5, 5, 1, 2, 5, 4, 5, 5, 5, 1, 5, 5, 5, 5, 1, 1, 4, 5, 5, 4, 5, 4, 5, 2, 5, 2, 5, 5, 5, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 3, 5, 4, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 3, 3, 5, 5, 5, 5, 3, 5, 5, 3, 5, 5]",John Davis,Male,34
10,"[17816, 8568, 28637, 5886, 19283, 5035, 11981, 4952, 28577, 27947, 8591, 7589, 10191, 5372, 28657, 8562, 8577, 14174, 27556, 28915, 4996, 28625, 1437, 7845, 4363, 8544, 36107, 8534, 27923, 8531, 11978, 5025, 8536, 8528, 4848, 8576, 12759, 8535, 12831, 7825, 28628, 27924, 8551, 26161, 8553, 26597, 4931, 3949, 28000, 5446, 11990, 24046, 8682, 24232, 8707, 12176, 8698, 34396, 23361, 9554, 7925, 24233, 24183, 24247, 23510, 29609, 1880, 29011, 34185, 7926, 24399, 6421, 27898, 24421, 12693, 30875, 7826, 1418, 29511, 17067, 36304, 29534, 28999, 27925, 23931, 24032, 19263, 8578, 17100, 1334, 29583, 4365, 24004, 29512, 11993, 28916, 15605, 29563, 17886, 5047, 34866, 11979, 29517, 11954, 10113, 5475, 16095, 26472, 10096, 8489, 11961, 16151, 478, 35308, 4786, 8488, 26521, 11962, 11960, 5289, 6142, 16668, 4826, 16176, 5466, 11957, 11953, 4759, 13310, 8498, 26549, 683, 16094, 10176, 16096, 6145, 5891, 440, 10099, 8482, 414, 8494, 8486, 11955, 16192, 16161, 7544, 322, 13309, 3239, 25489, 395, 10181, 16097, 7562, 415, 8501, 7780, 27917, 17817, 34666, 963, 18228, 8508, 11967, 43157, 1029, 11966, 8512, 803, 11972, 17843, 8519, 26591, 8518, 26596, 27918, 26585, 8506, 4783, 6227, 10030, 3220, 26545, 5478, 16152, 4806, 6194, 8502, 10104, 3240, 16199, 834, 11965, 16166, 846, 27897, 13333, 7757, 4847, 802, 24559, 346, 4760, 3924, 8497]","[1, 3, 4, 1, 1, 4, 3, 2, 4, 1, 5, 2, 4, 5, 2, 1, 3, 1, 3, 4, 4, 3, 3, 1, 2, 3, 4, 1, 4, 5, 2, 5, 1, 4, 5, 3, 2, 5, 5, 4, 4, 4, 4, 2, 2, 4, 4, 2, 4, 3, 2, 4, 3, 4, 1, 5, 1, 1, 4, 5, 1, 3, 5, 5, 5, 2, 1, 1, 2, 1, 4, 5, 4, 1, 5, 3, 4, 4, 5, 4, 4, 2, 1, 2, 1, 2, 1, 3, 1, 3, 1, 1, 1, 3, 2, 1, 2, 2, 4, 5, 4, 3, 4, 4, 4, 4, 5, 1, 1, 2, 1, 5, 3, 1, 4, 2, 3, 5, 3, 2, 4, 1, 5, 1, 1, 4, 4, 2, 3, 3, 2, 3, 1, 4, 4, 5, 3, 3, 4, 1, 5, 4, 4, 3, 4, 5, 3, 5, 4, 5, 1, 4, 1, 3, 4, 2, 5, 2, 5, 1, 1, 1, 2, 3, 5, 3, 3, 2, 3, 5, 4, 1, 4, 4, 4, 5, 5, 2, 3, 2, 5, 2, 4, 3, 4, 3, 3, 4, 5, 2, 5, 3, 5, 3, 4, 5, 5, 2, 3, 5, 2, 4, 4, 4, 2, 1]",Christopher Wilson,Male,18
