user_id,item_id,rating,is_like,is_follow,is_comment,is_forward,is_hate
1,33643,5,1,1,0,1,0
1,35829,5,1,1,0,1,0
1,37494,5,1,1,0,1,0
1,39476,5,1,1,0,1,0
1,32707,5,1,1,0,1,0
1,17182,5,1,1,0,1,0
1,19975,5,1,1,0,1,0
1,14295,5,1,1,0,1,0
1,36400,5,1,1,0,1,0
1,8653,5,1,1,0,1,0
1,8825,5,1,1,0,1,0
1,8794,5,1,1,0,1,0
1,12536,5,1,1,0,1,0
1,1279,5,1,1,0,1,0
1,39814,5,1,1,0,1,0
1,28718,5,1,1,0,1,0
1,1278,5,1,1,0,1,0
1,40329,5,1,1,0,1,0
1,33877,5,1,1,0,1,0
1,31998,5,1,1,0,1,0
1,25363,5,1,1,0,1,0
1,31981,5,1,1,0,1,0
1,16440,5,1,1,0,1,0
1,2011,5,1,1,0,1,0
1,8740,5,1,1,0,1,0
1,34699,5,1,1,0,1,0
1,8974,5,1,1,0,1,0
1,39098,5,1,1,0,1,0
1,8973,5,1,1,0,1,0
1,41623,5,1,1,0,1,0
1,38286,5,1,1,0,1,0
1,38333,5,1,1,0,1,0
1,38296,5,1,1,0,1,0
1,26947,5,1,1,0,1,0
1,28786,5,1,1,0,1,0
1,12730,5,1,1,0,1,0
1,7693,5,1,1,0,1,0
1,32832,5,1,1,0,1,0
1,28751,5,1,1,0,1,0
1,31747,5,1,1,0,1,0
1,2499,5,1,1,0,1,0
1,38222,5,1,1,0,1,0
1,8967,5,1,1,0,1,0
1,20914,5,1,1,0,1,0
1,37552,5,1,1,0,1,0
1,37784,5,1,1,0,1,0
1,20668,5,1,1,0,1,0
1,28130,5,1,1,0,1,0
1,29313,5,1,1,0,1,0
1,2351,5,1,1,0,1,0
1,2355,5,1,1,0,1,0
1,4918,5,1,1,0,1,0
1,25704,5,1,1,0,1,0
1,11429,5,1,1,0,1,0
1,2161,5,1,1,0,1,0
1,3956,5,1,1,0,1,0
1,19223,4,1,0,1,0,0
1,5320,4,1,0,1,0,0
1,32833,5,1,1,0,1,0
1,2148,5,1,1,0,1,0
1,39381,5,1,1,0,1,0
1,39543,5,1,1,0,1,0
1,25362,5,1,1,0,1,0
1,32064,5,1,1,0,1,0
1,634,5,1,1,0,1,0
1,32831,5,1,1,0,1,0
1,32836,5,1,1,0,1,0
1,11426,5,1,1,0,1,0
1,39586,5,1,1,0,1,0
1,33878,5,1,1,0,1,0
1,37625,5,1,1,0,1,0
1,38426,5,1,1,0,1,0
1,41106,5,1,1,0,1,0
1,5422,5,1,1,0,1,0
1,505,5,1,1,0,1,0
1,14057,5,1,1,0,1,0
1,17523,5,1,1,0,1,0
1,4915,5,1,1,0,1,0
1,7673,5,1,1,0,1,0
1,4916,5,1,1,0,1,0
1,33639,5,1,1,0,1,0
1,31440,5,1,1,0,1,0
1,1909,5,1,1,0,1,0
1,17455,5,1,1,0,1,0
1,2249,5,1,1,0,1,0
1,39434,5,1,1,0,1,0
1,42373,5,1,1,0,1,0
1,17246,5,1,1,0,1,0
1,38833,5,1,1,0,1,0
1,20280,5,1,1,0,1,0
1,22096,5,1,1,0,1,0
1,204,5,1,1,0,1,0
1,2956,5,1,1,0,1,0
1,11259,5,1,1,0,1,0
1,12951,5,1,1,0,1,0
2,38938,5,1,1,0,1,0
2,18437,4,1,0,1,0,0
2,48403,4,1,0,1,0,0
2,20819,5,1,1,0,1,0
2,18504,5,1,1,0,1,0
2,20825,4,1,0,1,0,0
2,38937,4,1,0,1,0,0
2,25130,4,1,0,1,0,0
2,23263,4,1,0,1,0,0
2,17705,4,1,0,1,0,0
2,17681,4,1,0,1,0,0
2,25127,4,1,0,1,0,0
2,17672,4,1,0,1,0,0
2,30603,5,1,1,0,1,0
2,18436,4,1,0,1,0,0
2,29586,5,1,1,0,1,0
2,20822,5,1,1,0,1,0
2,38936,4,1,0,1,0,0
2,20823,4,1,0,1,0,0
2,17673,4,1,0,1,0,0
2,23216,4,1,0,1,0,0
2,24751,4,1,0,1,0,0
2,2265,5,1,1,0,1,0
2,18422,5,1,1,0,1,0
2,25126,4,1,0,1,0,0
2,41885,5,1,1,0,1,0
2,20927,3,0,0,1,0,0
2,38939,4,1,0,1,0,0
2,19147,5,1,1,0,1,0
2,25188,5,1,1,0,1,0
2,25196,5,1,1,0,1,0
2,49145,5,1,1,0,1,0
2,8492,2,0,0,1,0,0
2,25192,4,1,0,1,0,0
2,14236,5,1,1,0,1,0
2,42737,5,1,1,0,1,0
2,25184,5,1,1,0,1,0
2,13678,5,1,1,0,1,0
2,24437,5,1,1,0,1,0
2,25180,5,1,1,0,1,0
2,30604,5,1,1,0,1,0
2,17687,4,1,0,1,0,0
2,18452,4,1,0,1,0,0
2,7173,5,1,1,0,1,0
2,20827,3,0,0,1,0,0
2,18449,4,1,0,1,0,0
2,47299,4,1,0,1,0,0
2,20829,5,1,1,0,1,0
2,23323,4,1,0,1,0,0
2,17677,4,1,0,1,0,0
2,5866,5,1,1,0,1,0
2,19117,5,1,1,0,1,0
