user_id,music_id,rating,times_listen
1,1,3.0,7.0
1,2,4.0,19.0
1,3,3.0,2.0
1,4,3.0,6.0
1,5,3.0,2.0
1,6,4.0,9.0
1,7,4.0,9.0
1,9,3.0,6.0
1,10,3.0,7.0
1,11,3.0,6.0
1,13,3.0,6.0
1,14,3.0,8.0
1,16,3.0,6.0
1,17,3.0,5.0
1,18,4.0,16.0
1,19,3.0,7.0
1,21,4.0,9.0
1,22,2.0,1.0
1,23,2.0,1.0
1,24,2.0,1.0
1,25,2.0,1.0
1,27,2.0,1.0
1,30,2.0,1.0
1,33,2.0,1.0
1,34,3.0,4.0
1,35,2.0,1.0
1,36,4.0,19.0
1,37,3.0,7.0
1,39,2.0,1.0
1,40,4.0,11.0
1,41,3.0,2.0
1,43,4.0,35.0
1,44,4.0,18.0
1,45,5.0,42.0
1,47,2.0,1.0
1,49,4.0,18.0
1,50,3.0,5.0
1,51,4.0,24.0
1,52,4.0,17.0
1,53,3.0,3.0
1,54,4.0,17.0
1,56,4.0,10.0
1,57,4.0,15.0
1,58,4.0,31.0
1,59,4.0,24.0
1,61,4.0,20.0
1,62,4.0,19.0
1,67,4.0,15.0
1,69,4.0,18.0
1,70,3.0,4.0
1,71,3.0,3.0
1,72,4.0,9.0
1,74,3.0,2.0
1,75,3.0,3.0
1,76,3.0,5.0
1,77,2.0,1.0
1,78,2.0,1.0
1,79,3.0,2.0
1,80,3.0,2.0
1,81,2.0,1.0
1,82,3.0,2.0
1,83,2.0,1.0
1,84,3.0,3.0
1,85,2.0,1.0
1,86,2.0,1.0
1,87,2.0,1.0
1,89,2.0,1.0
1,90,3.0,2.0
1,91,3.0,2.0
1,92,2.0,1.0
1,93,3.0,4.0
1,94,2.0,1.0
1,95,2.0,1.0
1,96,2.0,1.0
1,97,2.0,1.0
1,99,3.0,3.0
1,100,2.0,1.0
1,101,4.0,11.0
1,102,4.0,28.0
1,103,4.0,15.0
1,104,3.0,4.0
1,105,2.0,1.0
1,106,2.0,1.0
1,107,3.0,3.0
1,108,2.0,1.0
1,109,3.0,3.0
1,110,3.0,2.0
1,111,3.0,2.0
1,112,2.0,1.0
1,113,3.0,2.0
1,114,2.0,1.0
1,116,2.0,1.0
1,118,2.0,1.0
1,119,2.0,1.0
1,120,2.0,1.0
1,121,3.0,2.0
1,122,4.0,13.0
1,123,3.0,2.0
1,124,4.0,11.0
1,125,3.0,7.0
1,126,3.0,8.0
1,128,3.0,4.0
1,129,3.0,6.0
1,130,4.0,12.0
1,131,4.0,13.0
1,132,4.0,9.0
1,133,4.0,12.0
1,134,4.0,11.0
1,135,3.0,3.0
1,138,4.0,29.0
1,139,4.0,11.0
1,140,2.0,1.0
1,141,3.0,7.0
1,142,3.0,2.0
1,144,3.0,4.0
1,145,2.0,1.0
1,146,3.0,2.0
1,148,4.0,11.0
1,149,3.0,4.0
1,150,2.0,1.0
1,151,3.0,4.0
1,152,3.0,2.0
1,153,3.0,3.0
1,154,3.0,4.0
1,155,2.0,1.0
1,157,3.0,3.0
1,161,3.0,2.0
1,162,3.0,2.0
1,163,3.0,3.0
1,164,2.0,1.0
1,165,2.0,1.0
1,166,3.0,3.0
1,168,3.0,4.0
1,169,4.0,27.0
1,170,3.0,4.0
1,171,4.0,10.0
1,172,4.0,28.0
1,174,4.0,17.0
1,175,3.0,5.0
1,177,4.0,20.0
1,178,4.0,24.0
1,179,2.0,1.0
1,180,3.0,7.0
1,181,4.0,21.0
1,182,3.0,5.0
1,183,3.0,8.0
1,185,3.0,6.0
1,186,4.0,23.0
1,187,3.0,5.0
1,188,4.0,12.0
1,189,3.0,3.0
1,190,2.0,1.0
1,191,3.0,5.0
1,192,4.0,10.0
1,193,4.0,10.0
1,194,3.0,8.0
1,195,3.0,6.0
1,197,3.0,2.0
1,198,3.0,3.0
1,199,3.0,2.0
1,200,3.0,2.0
1,201,2.0,1.0
1,204,3.0,2.0
1,205,2.0,1.0
1,206,3.0,4.0
1,207,2.0,1.0
1,208,3.0,2.0
1,209,4.0,14.0
1,212,2.0,1.0
1,213,2.0,1.0
1,214,3.0,3.0
1,216,3.0,4.0
1,217,3.0,3.0
1,218,2.0,1.0
1,219,3.0,3.0
1,220,3.0,2.0
1,221,3.0,5.0
1,222,3.0,3.0
1,223,3.0,5.0
1,224,3.0,6.0
1,225,3.0,6.0
1,226,4.0,13.0
1,227,3.0,8.0
1,228,4.0,12.0
1,229,3.0,7.0
1,230,4.0,10.0
1,231,3.0,2.0
1,232,3.0,4.0
1,233,2.0,1.0
1,235,3.0,3.0
1,236,3.0,2.0
1,237,3.0,2.0
1,239,3.0,6.0
1,240,2.0,1.0
1,241,3.0,4.0
1,242,4.0,9.0
1,243,2.0,1.0
1,245,2.0,1.0
1,246,3.0,2.0
1,247,2.0,1.0
1,249,4.0,25.0
1,250,2.0,1.0
1,255,3.0,4.0
1,257,3.0,7.0
1,258,3.0,5.0
1,259,4.0,9.0
1,262,3.0,4.0
1,264,3.0,4.0
1,266,3.0,4.0
1,267,3.0,4.0
1,268,2.0,1.0
1,269,2.0,1.0
1,270,2.0,1.0
1,271,3.0,6.0
1,272,4.0,16.0
1,273,4.0,19.0
1,276,4.0,10.0
1,277,4.0,11.0
1,279,4.0,10.0
1,280,4.0,12.0
1,281,4.0,15.0
1,283,4.0,15.0
1,286,3.0,6.0
1,287,3.0,8.0
1,288,3.0,5.0
1,289,3.0,6.0
1,290,3.0,6.0
1,291,3.0,5.0
1,292,3.0,4.0
1,293,3.0,8.0
1,294,3.0,7.0
1,296,3.0,5.0
1,297,3.0,8.0
1,298,4.0,11.0
1,299,3.0,4.0
1,302,3.0,4.0
1,304,4.0,28.0
1,306,4.0,30.0
1,308,4.0,15.0
1,310,3.0,2.0
1,311,4.0,21.0
1,312,3.0,2.0
1,313,2.0,1.0
1,315,2.0,1.0
1,316,3.0,2.0
1,318,2.0,1.0
1,319,4.0,15.0
1,322,2.0,1.0
1,323,2.0,1.0
1,326,2.0,1.0
1,327,2.0,1.0
1,328,2.0,1.0
1,329,3.0,2.0
1,330,3.0,3.0
1,331,2.0,1.0
1,332,2.0,1.0
1,333,3.0,2.0
1,334,3.0,3.0
1,335,3.0,2.0
1,337,2.0,1.0
1,339,2.0,1.0
1,340,3.0,2.0
1,341,3.0,2.0
1,342,3.0,5.0
1,343,2.0,1.0
1,344,3.0,2.0
1,345,3.0,4.0
1,347,3.0,3.0
1,348,3.0,4.0
1,349,3.0,8.0
1,352,3.0,4.0
1,353,3.0,4.0
1,354,3.0,2.0
1,355,3.0,6.0
1,356,2.0,1.0
1,357,3.0,6.0
1,358,3.0,2.0
1,359,3.0,3.0
1,360,2.0,1.0
1,362,2.0,1.0
1,364,2.0,1.0
1,365,3.0,2.0
1,366,2.0,1.0
1,368,2.0,1.0
1,369,3.0,2.0
1,370,2.0,1.0
1,371,2.0,1.0
1,372,3.0,2.0
1,373,2.0,1.0
1,374,2.0,1.0
1,375,2.0,1.0
1,376,2.0,1.0
1,377,2.0,1.0
1,378,3.0,4.0
1,379,4.0,16.0
1,381,4.0,14.0
1,382,3.0,2.0
1,383,3.0,2.0
1,384,3.0,2.0
1,385,2.0,1.0
1,386,2.0,1.0
1,388,4.0,19.0
1,389,2.0,1.0
1,390,4.0,17.0
1,391,2.0,1.0
1,392,2.0,1.0
1,393,2.0,1.0
1,394,2.0,1.0
1,395,2.0,1.0
1,396,2.0,1.0
