item_id,title,genre,rating
0,Who Framed Roger Rabbit?,Adventure|Animation|Film-Noir,3.6680080482897384
1,Touch of Evil,Crime|Film-Noir|Thriller,3.861111111111111
2,Alien³,Action|Horror|Sci-Fi|Thriller,3.0895140664961636
3,"American Werewolf in London, An",Horror,3.532934131736527
4,Footloose,Drama,3.296875
5,Ever After: A Cinderella Story,Drama|Romance,3.515679442508711
6,Licence to Kill,Action,3.3463035019455254
7,X-Men,Action|Sci-Fi,3.479695431472081
8,"Honey, I Shrunk the Kids",Adventure|Children's|Comedy|Fantasy|Sci-Fi,2.9661016949152543
9,Chinatown,Film-Noir|Mystery|Thriller,4.073643410852713
10,Thunderball,Action,3.5958188153310107
11,Duck Soup,Comedy|War,4.023316062176166
12,Stand by Me,Adventure|Comedy|Drama,3.9622641509433962
13,"Sex, Lies, and Videotape",Drama,3.576923076923077
14,Aladdin,Animation|Children's|Comedy|Musical,3.657957244655582
15,Toy Story,Animation|Children's|Comedy,3.903640256959315
16,Jumanji,Adventure|Children's|Fantasy,3.2452316076294276
17,Lifeboat,Drama|Thriller|War,3.7777777777777777
18,Shadow of a Doubt,Film-Noir|Thriller,4.086614173228346
19,Shane,Drama|Western,3.807580174927114
20,Suspicion,Mystery|Thriller,3.9671532846715327
21,Charlotte's Web,Animation|Children's,3.9146757679180886
22,Tie Me Up! Tie Me Down!,Drama,3.589108910891089
23,Out of the Past,Film-Noir,4.027472527472527
24,She's the One,Comedy|Romance,2.8577777777777778
25,One Flew Over the Cuckoo's Nest,Drama,4.017681728880157
26,Arsenic and Old Lace,Comedy|Mystery|Thriller,4.045356371490281
27,Star Wars: Episode V - The Empire Strikes Back,Action|Adventure|Drama|Sci-Fi|War,3.933333333333333
28,Raiders of the Lost Ark,Action|Adventure,4.104508196721311
29,Brazil,Sci-Fi,3.9354005167958657
30,Batman,Action|Adventure|Crime|Drama,3.5359477124183005
31,Snow White and the Seven Dwarfs,Animation|Children's|Musical,3.8389423076923075
32,Beauty and the Beast,Animation|Children's|Musical,3.7002457002457003
33,Pinocchio,Animation|Children's,3.925531914893617
34,Pretty Woman,Comedy|Romance,3.5831381733021077
35,Bride of Frankenstein,Horror,3.8484848484848486
36,Legend,Adventure|Fantasy|Romance,3.3369565217391304
37,Tender Mercies,Drama,3.805157593123209
38,Sixteen Candles,Comedy,3.6408839779005526
