user_id,activity,diversity,conformity
0,2,2,1
1,2,2,1
2,1,3,2
3,1,2,2
4,2,3,2
5,1,3,2
6,2,3,2
7,1,1,2
8,2,3,2
9,3,2,1
10,1,3,3
11,1,1,3
12,2,3,1
13,1,1,3
14,2,3,3
15,1,3,1
16,2,2,1
17,1,2,2
18,1,3,2
19,2,3,1
20,3,3,1
21,3,2,1
22,2,3,2
23,1,1,3
24,1,2,2
25,1,2,2
26,2,3,2
27,2,2,1
28,3,3,2
29,1,1,3
30,2,3,2
31,3,3,1
32,2,2,2
33,1,2,2
34,1,1,2
35,2,2,1
36,1,2,2
37,1,3,2
38,1,3,3
39,1,2,3
40,1,3,3
41,1,3,2
42,3,2,1
43,1,2,3
44,1,3,2
45,1,3,3
46,3,3,1
47,2,3,2
48,3,3,1
49,1,3,2
50,2,3,2
51,3,3,2
52,2,2,1
53,3,3,2
54,1,3,2
55,1,3,3
56,1,2,2
57,1,2,2
58,2,3,2
59,1,3,2
60,1,1,3
61,2,3,2
62,2,3,2
63,1,3,2
64,1,2,1
65,2,3,2
66,1,2,2
67,1,1,2
68,1,3,1
69,1,3,1
70,1,3,3
71,3,3,1
72,1,3,3
73,2,3,2
74,2,3,2
75,1,3,2
76,1,3,2
77,1,3,2
78,1,2,3
79,1,3,2
80,1,3,2
81,2,3,2
82,1,3,3
83,1,3,2
84,2,3,1
85,1,2,2
86,1,1,3
87,1,3,2
88,2,2,1
89,2,3,2
90,1,2,2
91,1,2,3
92,1,2,2
93,2,3,3
94,2,3,1
95,2,3,1
96,1,2,2
97,1,3,3
98,1,3,2
99,1,1,2
100,1,1,3
101,2,2,1
102,2,3,1
103,1,1,2
104,2,3,1
105,1,2,3
106,1,1,3
107,1,3,2
108,1,2,2
109,2,2,2
110,1,1,2
111,1,3,3
112,1,3,2
113,1,2,1
114,1,2,2
115,1,2,2
116,1,3,1
117,2,2,2
118,1,3,3
119,2,3,1
120,2,3,1
121,2,3,3
122,1,2,3
123,2,3,1
124,1,1,3
125,1,3,3
126,2,3,2
127,2,3,1
128,2,3,2
129,2,3,2
130,1,1,2
131,1,1,3
132,3,3,1
133,1,3,3
134,3,3,2
135,1,3,2
136,2,3,1
137,1,2,2
138,1,3,3
139,1,3,3
140,1,1,2
141,1,1,2
142,3,3,1
143,1,3,2
144,3,3,1
145,1,3,2
146,2,3,2
147,1,3,3
148,2,3,1
149,1,2,2
150,2,3,2
151,1,3,2
152,1,3,2
153,1,1,3
154,2,3,1
155,1,1,3
156,1,3,2
157,1,2,2
158,1,1,2
159,2,3,2
160,1,2,2
161,2,3,1
162,3,3,1
163,3,3,1
164,1,2,2
165,1,2,2
166,1,3,3
167,2,3,2
168,1,3,1
169,2,3,3
170,1,1,2
171,1,3,1
172,2,3,3
173,2,3,1
174,1,1,3
175,1,3,2
176,1,3,1
177,1,1,2
178,1,3,3
179,1,3,2
180,1,3,2
181,1,3,2
182,1,1,3
183,2,2,1
184,2,3,2
185,1,2,1
186,2,3,1
187,1,3,2
188,1,3,3
189,1,3,3
190,2,3,1
191,1,2,3
192,1,3,2
193,1,3,1
194,1,3,2
195,1,3,2
196,3,3,1
197,1,2,2
198,2,3,1
199,2,3,2
200,1,1,3
201,1,2,2
202,1,1,2
203,1,3,2
204,2,3,2
205,3,3,1
206,1,3,2
207,1,1,2
208,2,3,1
209,1,1,2
210,1,1,3
211,1,1,3
212,2,3,2
213,3,2,1
214,1,2,2
